task_name,task_version,task_versionDate,task_form,task_ageCohort,task_language,site_id,subject_id,session_num,session_date,session_start,initials,machine_id,response_device,block_name,trial_stimulus,trial_extra_responses,resp_value,resp_corr,resp_rt,task_time
CPT,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,23:30,sa,Machine_ID,none,testingBlock,target,none,none,0,0,180.0259134490043
CPT,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,23:30,sa,Machine_ID,keyboard,testingBlock,target,none,left,1,0.4034659650060348,182.67974260498886
CPT,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,23:30,sa,Machine_ID,none,testingBlock,nontarget5,none,none,1,0,184.5268404429953
CPT,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,23:30,sa,Machine_ID,keyboard,testingBlock,target,none,left,1,0.4411947790067643,187.21846794398152
CPT,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,23:30,sa,Machine_ID,keyboard,testingBlock,target,none,left,1,0.6883685959910508,189.71613487700233
CPT,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,23:30,sa,Machine_ID,none,testingBlock,nontarget2,none,none,1,0,191.27828124997905
CPT,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,23:30,sa,Machine_ID,keyboard,testingBlock,target,none,left,1,0.3273304580070544,193.85599659499712
CPT,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,23:30,sa,Machine_ID,keyboard,testingBlock,target,none,left,1,0.39952387000084855,196.1786037599959
CPT,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,23:30,sa,Machine_ID,none,testingBlock,nontarget1,none,none,1,0,198.02940144500462
CPT,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,23:30,sa,Machine_ID,keyboard,testingBlock,nontarget5,none,left,0,0.4335251629818231,200.7135262619995
CPT,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,23:30,sa,Machine_ID,none,testingBlock,target,none,none,0,0,202.53067165700486
CPT,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,23:30,sa,Machine_ID,none,testingBlock,nontarget4,none,none,1,0,204.78106217700406
CPT,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,23:30,sa,Machine_ID,keyboard,testingBlock,target,none,left,1,0.3061324979935307,207.33757594798226
CPT,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,23:30,sa,Machine_ID,keyboard,testingBlock,target,none,left,1,0.4188426249893382,209.7007279789832
CPT,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,23:30,sa,Machine_ID,keyboard,testingBlock,target,none,left,1,0.47854250599630177,212.01090558199212
CPT,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,23:30,sa,Machine_ID,keyboard,testingBlock,target,none,left,1,0.5498578219849151,214.33262500399724
CPT,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,23:30,sa,Machine_ID,keyboard,testingBlock,target,none,left,1,0.48931330200866796,216.5226804720005
CPT,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,23:30,sa,Machine_ID,keyboard,testingBlock,target,none,left,1,0.48874116499791853,218.77256142298575
CPT,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,23:30,sa,Machine_ID,keyboard,testingBlock,target,none,left,1,0.4608832950179931,220.99531650499557
CPT,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,23:30,sa,Machine_ID,keyboard,testingBlock,target,none,left,1,0.6722011169767939,223.45697837800253
CPT,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,23:30,sa,Machine_ID,keyboard,testingBlock,target,none,left,1,0.5085642649792135,225.54384375197696
CPT,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,23:30,sa,Machine_ID,none,testingBlock,nontarget3,none,none,1,0,227.28562889900059
CPT,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,23:30,sa,Machine_ID,keyboard,testingBlock,target,none,left,1,0.5908094529877417,230.12692873799824
CPT,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,23:30,sa,Machine_ID,keyboard,testingBlock,target,none,left,1,0.741141824022634,232.5277509019943
CPT,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,23:30,sa,Machine_ID,keyboard,testingBlock,target,none,left,1,0.2645343590120319,234.3015056589793
CPT,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,23:30,sa,Machine_ID,keyboard,testingBlock,target,none,left,1,0.6833890820271336,236.970871951984
CPT,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,23:30,sa,Machine_ID,keyboard,testingBlock,target,none,left,1,0.2834046639909502,238.8214155349997
