task_name,task_version,task_versionDate,task_form,task_ageCohort,task_language,site_id,subject_id,session_num,session_date,session_start,initials,machine_id,response_device,block_name,trial_condition,trial_cue,trial_corr_resp,trial_shift,resp_value,resp_corr,resp_rt,task_time
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,shape,shape,left,0,left,1,0.2674101290060207,150.41254949898575
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,shape,shape,right,0,right,1,0.43078253900166597,152.64365056500537
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,color,color,right,0,left,0,0.3411658650031313,154.78513472501072
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,color,color,right,0,right,1,0.3428804640017915,156.9283286400023
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,color,color,left,0,left,1,0.45938497600145634,159.1880406109849
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,color,color,right,0,right,1,0.7014505909930449,161.6898291230027
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,color,color,left,0,left,1,0.6128534560150001,164.1030045709922
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,color,color,left,0,left,1,0.5792001399851869,166.48255395100568
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,color,color,right,0,right,1,1.2313376649864949,169.51421051399666
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,color,color,right,0,right,1,1.0825976120133418,172.39712742500706
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,color,color,left,0,left,1,0.9076288130192551,175.10507318598684
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,color,color,right,0,right,1,1.3775697379780467,178.2829603900027
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,color,color,left,0,left,1,0.9024276120064314,180.98570407100488
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,color,color,right,0,right,1,1.0297088830149732,183.81573118900997
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,color,color,left,0,left,1,1.9573290219879709,187.57340321599622
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,color,color,left,0,left,1,0.5164406569849234,189.89015841900255
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,color,color,right,0,right,1,0.7405480610206723,192.4310236480087
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,color,color,left,0,left,1,0.45034448399674143,194.68168393499218
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,color,color,right,0,right,1,1.038824045000365,197.5208357750089
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,color,color,left,0,left,1,0.6541751320066396,199.9753308389918
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,color,color,right,0,right,1,0.5691803440160583,202.3449995009869
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,color,color,left,0,left,1,0.5210147400095593,204.66632989500067
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,shift,color,left,0,left,1,0.8483822689915541,207.3150546280085
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,shift,shape,right,1,left,0,0.551678321021609,209.66704860099708
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,shift,shape,left,0,left,1,0.7695136119902599,212.23689041798934
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,shift,color,left,1,right,0,0.6804365779855288,214.717644896009
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,shift,shape,right,1,right,1,0.9286701889825053,217.44663717300864
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,shift,color,left,1,left,1,1.2184578920016065,220.46540968498448
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,shift,color,left,0,left,1,2.3186320770066233,224.58436029899167
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,shift,shape,right,1,right,1,1.0476772180001717,227.43235244500102
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,shift,color,left,1,left,1,1.2124145869922358,230.44508090498857
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,shift,color,right,0,right,1,0.5803846270020585,232.82580729800975
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,shift,color,left,0,left,1,0.6357043980271555,235.26182949598297
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,shift,color,right,0,left,0,1.1925219310098327,238.254669026006
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,shift,shape,left,1,left,1,0.3435182510176673,240.39850428898353
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,shift,color,right,1,left,0,0.21964226400014009,242.4184639029845
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,shift,shape,left,1,left,1,0.21736366900149728,244.43614692098345
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,shift,shape,left,0,left,1,0.09879254199331622,246.3352599600039
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,shift,shape,right,0,left,0,0.06736288599786344,248.2031167759851
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,shift,shape,left,0,left,1,0.052906740998150736,250.05633985000895
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,shift,color,left,1,left,1,0.021425030997488603,251.87809362300322
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,shift,shape,right,1,right,1,0.5568859179795254,254.2355617340072
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,shift,color,left,1,left,1,0.7255888190004043,256.7614719659905
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,shift,shape,right,1,right,1,0.8886588950001169,259.45044667998445
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,shift,color,right,1,right,1,0.4625243520014919,261.7132885660103
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,shift,shape,right,1,left,0,0.7195999440038576,264.2332248699968
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,shift,shape,left,0,left,1,0.36149011801462616,266.39502959599486
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,shift,shape,left,0,left,1,0.38350371700944375,268.57884875300806
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,shift,color,right,1,left,0,0.4786012709839269,270.85776949999854
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,shift,color,right,0,right,1,0.8564324809878598,273.5145191589836
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,shift,shape,right,1,left,0,0.9185723909933585,276.2334088940115
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,shift,shape,left,0,right,0,0.5176353189919609,278.55135835599503
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,shift,color,right,1,right,1,0.4124709670024458,280.76414754099096
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,shift,color,right,0,right,1,0.06940747499465938,282.6338968290074
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,shift,shape,left,1,right,0,0.06471136499312702,284.4989321389876
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,shift,color,right,1,right,1,0.4406943749811034,286.7399405390024
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,shift,color,right,0,right,1,0.03519966600579205,288.57547644898295
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,shift,color,left,0,right,0,0.048660299991024614,290.42445813599625
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,shift,color,left,0,right,0,0.3937767030030954,292.6185532390082
